report_date,Commodity,Value,Week of Year,Year,IndexbyYear,RowCount,RankbyCommodity,CommodityRowCount,PercentRankPorkColumn,YearOffset,StartOfWeek,EndOfWeek
2024-12-31 00:00:00.000,"Total Loads",408.44,"532",2024,255,29520,51,1258,0.95945945945945943,1,2024-12-29 00:00:00.000,2025-01-03 00:00:00.000
2024-12-30 00:00:00.000,"Total Loads",425.49,"531",2024,254,29520,25,1258,0.980127186009539,1,2024-12-29 00:00:00.000,2025-01-03 00:00:00.000
2024-12-27 00:00:00.000,"Total Loads",241.89,"525",2024,253,29520,1107,1258,0.12003179650238471,1,2024-12-22 00:00:00.000,2024-12-27 00:00:00.000
2024-12-26 00:00:00.000,"Total Loads",528.77,"524",2024,252,29520,1,1258,0.99920508744038161,1,2024-12-22 00:00:00.000,2024-12-27 00:00:00.000
2024-12-23 00:00:00.000,"Total Loads",301.5,"521",2024,251,29520,607,1258,0.51748807631160565,1,2024-12-22 00:00:00.000,2024-12-27 00:00:00.000
2024-12-20 00:00:00.000,"Total Loads",236.36,"515",2024,250,29520,1136,1258,0.0969793322734499,1,2024-12-15 00:00:00.000,2024-12-20 00:00:00.000
2024-12-19 00:00:00.000,"Total Loads",269.83,"514",2024,249,29520,902,1258,0.28298887122416538,1,2024-12-15 00:00:00.000,2024-12-20 00:00:00.000
2024-12-18 00:00:00.000,"Total Loads",206.91,"513",2024,248,29520,1231,1258,0.021462639109697923,1,2024-12-15 00:00:00.000,2024-12-20 00:00:00.000
2024-12-17 00:00:00.000,"Total Loads",301.16,"512",2024,247,29520,610,1258,0.51510333863275037,1,2024-12-15 00:00:00.000,2024-12-20 00:00:00.000
2024-12-16 00:00:00.000,"Total Loads",364.53,"511",2024,246,29520,142,1258,0.88712241653418122,1,2024-12-15 00:00:00.000,2024-12-20 00:00:00.000
2024-12-13 00:00:00.000,"Total Loads",275.09,"505",2024,245,29520,861,1258,0.31558028616852152,1,2024-12-08 00:00:00.000,2024-12-13 00:00:00.000
2024-12-12 00:00:00.000,"Total Loads",227.64,"504",2024,244,29520,1171,1258,0.069157392686804431,1,2024-12-08 00:00:00.000,2024-12-13 00:00:00.000
2024-12-11 00:00:00.000,"Total Loads",287.18,"503",2024,243,29520,746,1258,0.40699523052464226,1,2024-12-08 00:00:00.000,2024-12-13 00:00:00.000
2024-12-10 00:00:00.000,"Total Loads",350.2,"502",2024,242,29520,202,1258,0.83942766295707472,1,2024-12-08 00:00:00.000,2024-12-13 00:00:00.000
2024-12-09 00:00:00.000,"Total Loads",344.51,"501",2024,241,29520,241,1258,0.80842607313195547,1,2024-12-08 00:00:00.000,2024-12-13 00:00:00.000
2024-12-06 00:00:00.000,"Total Loads",317.66,"495",2024,240,29520,446,1258,0.64546899841017491,1,2024-12-01 00:00:00.000,2024-12-06 00:00:00.000
2024-12-05 00:00:00.000,"Total Loads",277.74,"494",2024,239,29520,838,1258,0.33386327503974567,1,2024-12-01 00:00:00.000,2024-12-06 00:00:00.000
2024-12-04 00:00:00.000,"Total Loads",340.09,"493",2024,238,29520,277,1258,0.77980922098569161,1,2024-12-01 00:00:00.000,2024-12-06 00:00:00.000
2024-12-03 00:00:00.000,"Total Loads",320.89,"492",2024,237,29520,413,1258,0.67170111287758338,1,2024-12-01 00:00:00.000,2024-12-06 00:00:00.000
2024-12-02 00:00:00.000,"Total Loads",298.21,"491",2024,236,29520,633,1258,0.49682034976152623,1,2024-12-01 00:00:00.000,2024-12-06 00:00:00.000
2024-11-29 00:00:00.000,"Total Loads",201.03,"485",2024,235,29520,1238,1258,0.015898251192368873,1,2024-11-24 00:00:00.000,2024-11-29 00:00:00.000
2024-11-27 00:00:00.000,"Total Loads",362.37,"483",2024,234,29520,152,1258,0.87917329093799679,1,2024-11-24 00:00:00.000,2024-11-29 00:00:00.000
2024-11-26 00:00:00.000,"Total Loads",340.36,"482",2024,233,29520,272,1258,0.78378378378378377,1,2024-11-24 00:00:00.000,2024-11-29 00:00:00.000
2024-11-25 00:00:00.000,"Total Loads",277.49,"481",2024,232,29520,841,1258,0.33147853736089028,1,2024-11-24 00:00:00.000,2024-11-29 00:00:00.000
2024-11-22 00:00:00.000,"Total Loads",322.93,"475",2024,231,29520,395,1258,0.68600953895071548,1,2024-11-17 00:00:00.000,2024-11-22 00:00:00.000
2024-11-21 00:00:00.000,"Total Loads",345.13,"474",2024,230,29520,232,1258,0.81558028616852152,1,2024-11-17 00:00:00.000,2024-11-22 00:00:00.000
2024-11-20 00:00:00.000,"Total Loads",292.4,"473",2024,229,29520,694,1258,0.44833068362480122,1,2024-11-17 00:00:00.000,2024-11-22 00:00:00.000
2024-11-19 00:00:00.000,"Total Loads",393.37,"472",2024,228,29520,64,1258,0.94912559618441972,1,2024-11-17 00:00:00.000,2024-11-22 00:00:00.000
2024-11-18 00:00:00.000,"Total Loads",252.42,"471",2024,227,29520,1043,1258,0.170906200317965,1,2024-11-17 00:00:00.000,2024-11-22 00:00:00.000
2024-11-15 00:00:00.000,"Total Loads",312.62,"465",2024,226,29520,487,1258,0.61287758346581878,1,2024-11-10 00:00:00.000,2024-11-15 00:00:00.000
2024-11-14 00:00:00.000,"Total Loads",284.24,"464",2024,225,29520,775,1258,0.38394276629570745,1,2024-11-10 00:00:00.000,2024-11-15 00:00:00.000
2024-11-13 00:00:00.000,"Total Loads",297.26,"463",2024,224,29520,651,1258,0.48251192368839424,1,2024-11-10 00:00:00.000,2024-11-15 00:00:00.000
2024-11-12 00:00:00.000,"Total Loads",379.6,"462",2024,223,29520,98,1258,0.92209856915739263,1,2024-11-10 00:00:00.000,2024-11-15 00:00:00.000
2024-11-11 00:00:00.000,"Total Loads",278.7,"461",2024,222,29520,827,1258,0.34260731319554849,1,2024-11-10 00:00:00.000,2024-11-15 00:00:00.000
2024-11-08 00:00:00.000,"Total Loads",282.28,"455",2024,221,29520,788,1258,0.37360890302066774,1,2024-11-03 00:00:00.000,2024-11-08 00:00:00.000
